Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
F1,,23:49:09,2025-08-30,451,11,11,None,5833936.4275195384,38130307.399145611,8,8,0,100,5.0331602096557617,24.785420034082776,66.00000262260437,44.999998807907104,25,5,F1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",6,1,2025-Aug-30 23:40:29,800.32445881388435,0.076203928638705815,3.0132162331815319e-09,1600.6489176277687,456.82225919744695,57.079632412394027,0.57079632412394021,20904541.850802884,1.0025140039604805,0.68731404449809486,--,7.514226028667369e-07,152.21281556112217,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,653.51411650944999,15.555593060004044,13011046.938585252,100.00000000000001,100,100,1307.0282330189,3.690127864399925e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0007819873073842907,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90446555642888682,Aqueous,
F2,,23:50:01,2025-08-30,503,12,12,None,5909892.7442143373,62209398.088144407,8,8,0,100,5.0331602096557617,24.829475776600223,81.000000238418579,50,25,5,F2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",6,2,2025-Aug-30 23:40:29,709.59240910998562,0.074906056862509104,3.402464525332798e-09,1419.1848182199712,405.03273929044207,57.079632489087501,0.57079632489087506,15775002.046403317,1.0015657174516936,2.0036907841679157,--,1.0569018728401869e-07,171.87571889597396,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,674.68777201038756,9.7497022139810543,14018885.231720142,100.00000000000001,100,100,1349.3755440207751,3.5784893392213307e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0012254764229270268,1,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90354565303953294,Aqueous,
G1,,23:50:46,2025-08-30,548,13,13,None,5742122.4840268437,31092280.431819782,8,8,0,100,5.0331602096557617,24.9005506687894,38.440001010894775,30.000001192092896,25,5,G1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",7,1,2025-Aug-30 23:40:29,275.16222926760958,0.11690202125463821,8.7908258802541779e-09,550.32445853521915,100.22394800061274,36.423584831165087,0.36423584831165084,1719208.607137593,1.0030257027887783,0.36826879943608171,--,285.92845043859444,264.4935758868474,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,265.59464714696043,34.422151929153578,1582584.8992380993,100.00000000000001,100,100,531.18929429392085,9.1074999902979711e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00023790017335108805,4,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90206493078127847,Aqueous,
G2,,23:51:30,2025-08-30,592,14,14,None,5885278.8715216378,38240928.967937142,8,8,0,100,5.0331602096557617,24.973389996154655,38.440001010894775,25,25,5,G2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",7,2,2025-Aug-30 23:40:29,322.27060922232272,0.085584267462139998,7.5202643483362763e-09,644.54121844464544,86.489573001039645,26.837561516934251,0.2683756151693425,2488361.3744981391,1.0011358380663178,0.3352259469395496,--,283.02769639265239,175.33466116891361,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,310.50398097446788,18.231173014981927,2280958.7320428691,99.999999999999986,100,100,621.00796194893576,7.8052467006873262e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0001667983215916092,5,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90055173128491062,Aqueous,
H1,,23:52:14,2025-08-30,636,15,15,None,5050365.7190173659,27346575.705368217,8,8,0,100,5.0331602096557617,25.046740241206145,38.440001010894775,30.000001192092896,25,5,H1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",8,1,2025-Aug-30 23:40:29,280.70523891712662,0.10204545973075642,8.6505468484198943e-09,561.41047783425324,83.595469437085654,29.780516302285964,0.29780516302285964,1801338.0371222009,1.0003196783124129,0.46143639292642491,--,315.30928154918143,218.70421406569918,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,286.39609286881921,32.224140506852592,1887948.971979714,94.849110816517054,45.824739269861638,99.986392941191212,572.79218573763842,8.4786555414418318e-09,--,--,--,--,--,--,--,--,--,--,6509.6327961868337,44.040167180038054,2819279510.4603186,5.1508891834829518,54.175260730138362,0.013607058808768759,13019.265592373667,3.7302469983743302e-10,--,0.00031922626892625131,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89903228171930405,Aqueous,
H2,,23:52:58,2025-08-30,680,16,16,None,5350697.7763824388,34767367.538972154,8,8,0,100,5.0331602096557617,25.100700830586621,38.440001010894775,25,25,5,H2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",8,2,2025-Aug-30 23:40:29,316.34003364963542,0.080830985597121749,7.687011027958779e-09,632.68006729927083,106.75269914937563,33.746186948823023,0.33746186948823026,2382535.3482394028,1.0004516654813767,0.37901153292644407,--,263.97976441383571,215.86639195334647,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,346.06574455780361,44.405948771383144,2939693.0064878091,100,100,100,692.13148911560722,7.0267264688586611e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00025985850283223642,4,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.8979172751031731,Aqueous,
I1,,23:53:43,2025-08-30,725,17,17,None,5297789.5575833498,20103938.221633229,8,8,0,100,5.0331602096557617,25.127659054655883,41.440001130104065,44.999998807907104,25,5,I1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",9,1,2025-Aug-30 23:40:29,258.34361406756761,0.087214836540408361,9.4193793018357867e-09,516.68722813513523,75.312955618048193,29.152242020718468,0.29152242020718466,1483333.8512477407,1.0019748093612828,0.4012650144924253,--,345.9527490554583,234.11837738333418,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,232.92115751551773,10.683029385147446,1164056.6989607227,100,100.00000000000001,100,465.84231503103547,1.0447468650190689e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00021787089694765639,3,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89736111036513833,Aqueous,
I2,,23:54:29,2025-08-30,771,18,18,None,6889078.4454333307,25096825.014119335,8,8,0,100,5.0331602096557617,25.138686962089153,38.999998569488525,44.999998807907104,25,5,I2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",9,2,2025-Aug-30 23:40:29,305.3189852859274,0.086409486003883457,7.9724593105791447e-09,610.63797057185479,92.716628348691472,30.367134969305464,0.30367134969305465,2192833.3259653826,1.0024403729218132,0.64515404165334234,--,288.41914073577186,204.77069217094112,--,--,--,--,3.4645097606200537,11.786126019240903,61.63572599126887,1.290893516871974,68.623734480791725,99.999919752566925,6.9290195212401073,7.0259383148735112e-07,--,--,--,--,--,--,--,--,--,--,279.97678427758768,18.544063719415465,1790419.3475595575,98.709106483128011,31.376265519208275,8.0247433082021518e-05,559.95356855517537,8.6940893803751833e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00028786558489688808,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89713376706574977,Aqueous,
J1,,23:55:17,2025-08-30,819,19,19,None,7196079.0687340768,21905873.257613733,8,8,0,100,5.0331602096557617,25.120337398394184,27.000001072883606,44.999998807907104,25,5,J1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",10,1,2025-Aug-30 23:40:29,274.75652912287944,0.081447460122440848,8.8549937632506437e-09,549.51305824575888,64.345257101325728,23.419009297700285,0.23419009297700286,1713283.52244382,1.0014949722913986,0.42369613682293478,--,342.452493942839,187.05101460887909,--,--,--,--,3.2769184301196157,11.238721303334323,54.10845591061851,1.1080909066406635,68.744319896783907,99.999914419727062,6.5538368602392314,7.4245587849639637e-07,--,--,--,--,--,--,--,--,--,--,255.37836236850856,11.185366075871022,1443803.2303749444,98.891909093359331,31.255680103216097,8.558027295258907e-05,510.75672473701712,9.5269126531743628e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00021032093523306428,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89751210254302149,Aqueous,
J2,,23:56:01,2025-08-30,863,20,20,None,5565129.9844099348,25411551.803938165,8,8,0,100,5.0331602096557617,25.0799110950352,27.000001072883606,30.000001192092896,25,5,J2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",10,2,2025-Aug-30 23:40:29,305.30379516117938,0.098107338148947634,7.9605225362780366e-09,610.60759032235876,95.349524769305262,31.231031608685793,0.31231031608685794,2192578.0691097947,1.0011805625355328,0.70996486838212747,--,284.60159482649459,209.23960485595819,--,--,--,--,3.6504436385028214,9.7200387429832933,69.655434136054581,1.2957537975823994,62.436021748554182,99.999889350614382,7.3008872770056428,6.6577599395249595e-07,--,--,--,--,--,--,--,--,--,--,281.17055813306723,5.6651094665150694,1808332.5346933452,98.704246202417607,37.56397825144581,0.0001106493856162228,562.34111626613446,8.6437846050779529e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00025348181136091797,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89834658149983637,Aqueous,
K1,,23:56:47,2025-08-30,909,21,21,None,5195150.0231338106,8718242.1349376906,8,8,0,100,5.0331602096557617,25.04807873909261,0.68430202081799507,60.000002384185791,25,5,K1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",11,1,2025-Aug-30 23:40:29,50.010347383865913,0.091578156072067138,4.8556741444360184e-08,100.02069476773183,18.091663402652308,36.175840299179661,0.36175840299179662,31815.514018277605,1.0000137263735034,0.52056276876813246,--,1588.2204332028823,1451.7278377596563,--,--,--,--,6.2202593308305261,18.884150143989238,242.39952558513073,3.2099103075929003,85.677603187919431,99.983843148682482,12.440518661661052,3.9039200430519365e-07,--,60.821480308293559,30.196725123886914,50293.886032758885,96.790089692407093,14.322396812080573,0.01615685131751534,121.64296061658712,3.9925689002506668e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010685073065672061,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89900459533413069,Aqueous,
